85,Whampoa
84,Ho Man Tin
5,Yau Ma Tei
6,Mong Kok
16,Prince Edward
7,Shek Kip Mei
8,Kowloon Tong
9,Lok Fu
10,Wong Tai Sin
11,Diamond Hill
12,Choi Hung
13,Kowloon Bay
14,Ngau Tau Kok
15,Kwun Tong
38,Lam Tin
48,Yau Tong
49,Tiu Keng Leng
